Rank,Title,Artist,Type,Year
1,"""We Belong Together""",Mariah Carey,Singer,2005
2,"""Hollaback Girl""",Gwen Stefani,Singer,2005
3,"""Let Me Love You""",Mario,Singer,2005
4,"""Since U Been Gone""",Kelly Clarkson,Singer,2005
5,"""1, 2 Step""",Ciara featuring Missy Elliott,Singer,2005
6,"""Gold Digger""",Kanye West featuring Jamie Foxx,Singer,2005
7,"""Boulevard of Broken Dreams""",Green Day,Band,2005
8,"""Candy Shop""",50 Cent featuring Olivia,Singer,2005
9,"""Don't Cha""",The Pussycat Dolls featuring Busta Rhymes,Band,2005
10,"""Behind These Hazel Eyes""",Kelly Clarkson,Singer,2005
11,"""Disco Inferno""",50 Cent,Singer,2005
12,"""You and Me""",Lifehouse,Band,2005
13,"""Don't Phunk with My Heart""",The Black Eyed Peas,Band,2005
14,"""Lose Control""",Missy Elliott featuring Ciara and Fatman Scoop,Singer,2005
15,"""Shake It Off""",Mariah Carey,Singer,2005
16,"""Mr. Brightside""",The Killers,Band,2005
17,"""Just a Lil Bit""",50 Cent,Singer,2005
18,"""Pon de Replay""",Rihanna,Singer,2005
19,"""How We Do""",The Game featuring 50 Cent,Band,2005
20,"""Beverly Hills""",Weezer,Band,2005
21,"""Oh""",Ciara featuring Ludacris,Singer,2005
22,"""Lonely No More""",Rob Thomas,Singer,2005
23,"""Drop It Like It's Hot""",Snoop Dogg featuring Pharrell,Singer,2005
24,"""Hate It or Love It""",The Game featuring 50 Cent,Band,2005
25,"""Lovers & Friends""",Lil Jon & the East Side Boyz featuring Usher and Ludacris,Band,2005
26,"""Soldier""",Destiny's Child featuring T.I. and Lil Wayne,Band,2005
27,"""Breakaway""",Kelly Clarkson,Singer,2005
28,"""Switch""",Will Smith,Singer,2005
29,"""Let Me Hold You""",Bow Wow featuring Omarion,Singer,2005
30,"""Like You""",Bow Wow featuring Ciara,Singer,2005
31,"""Rich Girl""",Gwen Stefani featuring Eve,Singer,2005
32,"""My Humps""",The Black Eyed Peas,Band,2005
33,"""Obsession (No Es Amor)""",Frankie J featuring Baby Bash,Singer,2005
34,"""Caught Up""",Usher,Singer,2005
35,"""Listen to Your Heart""",DHT featuring Edmee,Band,2005
36,"""Scars""",Papa Roach,Band,2005
37,"""Feel Good Inc.""",Gorillaz,Band,2005
38,"""Let Me Go""",3 Doors Down,Band,2005
39,"""Holiday""",Green Day,Band,2005
40,"""Sugar, We're Goin Down""",Fall Out Boy,Band,2005
41,"""Grind with Me""",Pretty Ricky,Band,2005
42,"""Run It!""",Chris Brown featuring Juelz Santana,Singer,2005
43,"""Photograph""",Nickelback,Band,2005
44,"""Lonely""",Akon,Singer,2005
45,"""Collide""",Howie Day,Singer,2005
46,"""Wake Me Up When September Ends""",Green Day,Band,2005
47,"""Slow Down""",Bobby Valentino,Singer,2005
48,"""Over and Over""",Nelly featuring Tim McGraw,Singer,2005
49,"""Some Cut""",Trillville featuring Cutty,Band,2005
50,"""Get It Poppin'""",Fat Joe featuring Nelly,Singer,2005
51,"""Play""",David Banner,Singer,2005
52,"""Soul Survivor""",Young Jeezy featuring Akon,Singer,2005
53,"""Pimpin' All Over the World""",Ludacris featuring Bobby Valentino,Singer,2005
54,"""My Boo""",Usher and Alicia Keys,Singer,2005
55,"""Sugar (Gimme Some)""","Trick Daddy featuring Ludacris, Lil' Kim and Cee Lo Green",Singer,2005
56,"""Karma""",Alicia Keys,Singer,2005
57,"""Speed of Sound""",Coldplay,Band,2005
58,"""I Don't Want to Be""",Gavin DeGraw,Singer,2005
59,"""Mockingbird""",Eminem,Singer,2005
60,"""La Tortura""",Shakira featuring Alejandro Sanz,Singer,2005
61,"""She Will Be Loved""",Maroon 5,Band,2005
62,"""Baby I'm Back""",Baby Bash featuring Akon,Singer,2005
63,"""Wait (The Whisper Song)""",Ying Yang Twins,Band,2005
64,"""Incomplete""",Backstreet Boys,Band,2005
65,"""Bring Em Out""",T.I.,Singer,2005
66,"""Cater 2 U""",Destiny's Child,Band,2005
67,"""1 Thing""",Amerie,Singer,2005
68,"""Best of You""",Foo Fighters,Band,2005
69,"""It's Like That""",Mariah Carey featuring Jermaine Dupri and Fatman Scoop,Singer,2005
70,"""Goin' Crazy""",Natalie,Singer,2005
71,"""Inside Your Heaven""",Carrie Underwood,Singer,2005
72,"""Because of You""",Kelly Clarkson,Singer,2005
73,"""Truth Is""",Fantasia,Singer,2005
74,"""Your Body""",Pretty Ricky,Band,2005
75,"""Beautiful Soul""",Jesse McCartney,Singer,2005
76,"""Cool""",Gwen Stefani,Singer,2005
77,"""Get Back""",Ludacris,Singer,2005
78,"""Outta Control""",50 Cent featuring Mobb Deep,Singer,2005
79,"""U Don't Know Me""",T.I.,Singer,2005
80,"""These Words""",Natasha Bedingfield,Singer,2005
81,"""Don't Lie""",The Black Eyed Peas,Band,2005
82,"""Get Right""",Jennifer Lopez,Singer,2005
83,"""Daughters""",John Mayer,Singer,2005
84,"""As Good as I Once Was""",Toby Keith,Singer,2005
